userName,password,student_name,course_name
R001,passR1,Student R1,R
R002,passR2,Student R2,R
R003,passR3,Student R3,R
R004,passR4,Student R4,R
R005,passR5,Student R5,R
R006,passR6,Student R6,R
R007,passR7,Student R7,R
R008,passR8,Student R8,R
R009,passR9,Student R9,R
R010,passR10,Student R10,R
R011,passR11,Student R11,R
R012,passR12,Student R12,R
R013,passR13,Student R13,R
R014,passR14,Student R14,R
R015,passR15,Student R15,R
R016,passR16,Student R16,R
R017,passR17,Student R17,R
R018,passR18,Student R18,R
R019,passR19,Student R19,R
R020,passR20,Student R20,R
R021,passR21,Student R21,R
R022,passR22,Student R22,R
R023,passR23,Student R23,R
R024,passR24,Student R24,R
R025,passR25,Student R25,R
R026,passR26,Student R26,R
R027,passR27,Student R27,R
R028,passR28,Student R28,R
R029,passR29,Student R29,R
R030,passR30,Student R30,R
Java001,passJ1,Student J1,Java
Java002,passJ2,Student J2,Java
Java003,passJ3,Student J3,Java
Java004,passJ4,Student J4,Java
Java005,passJ5,Student J5,Java
Java006,passJ6,Student J6,Java
Java007,passJ7,Student J7,Java
Java008,passJ8,Student J8,Java
Java009,passJ9,Student J9,Java
Java010,passJ10,Student J10,Java
Java011,passJ11,Student J11,Java
Java012,passJ12,Student J12,Java
Java013,passJ13,Student J13,Java
Java014,passJ14,Student J14,Java
Java015,passJ15,Student J15,Java
Java016,passJ16,Student J16,Java
Java017,passJ17,Student J17,Java
Java018,passJ18,Student J18,Java
Java019,passJ19,Student J19,Java
Java020,passJ20,Student J20,Java
Java021,passJ21,Student J21,Java
Java022,passJ22,Student J22,Java
Java023,passJ23,Student J23,Java
Java024,passJ24,Student J24,Java
Java025,passJ25,Student J25,Java
Java026,passJ26,Student J26,Java
Java027,passJ27,Student J27,Java
Java028,passJ28,Student J28,Java
Java029,passJ29,Student J29,Java
Java030,passJ30,Student J30,Java
SQL001,passS1,Student S1,SQL
SQL002,passS2,Student S2,SQL
SQL003,passS3,Student S3,SQL
SQL004,passS4,Student S4,SQL
SQL005,passS5,Student S5,SQL
SQL006,passS6,Student S6,SQL
SQL007,passS7,Student S7,SQL
SQL008,passS8,Student S8,SQL
SQL009,passS9,Student S9,SQL
SQL010,passS10,Student S10,SQL
SQL011,passS11,Student S11,SQL
SQL012,passS12,Student S12,SQL
SQL013,passS13,Student S13,SQL
SQL014,passS14,Student S14,SQL
SQL015,passS15,Student S15,SQL
SQL016,passS16,Student S16,SQL
SQL017,passS17,Student S17,SQL
SQL018,passS18,Student S18,SQL
SQL019,passS19,Student S19,SQL
SQL020,passS20,Student S20,SQL
SQL021,passS21,Student S21,SQL
SQL022,passS22,Student S22,SQL
SQL023,passS23,Student S23,SQL
SQL024,passS24,Student S24,SQL
SQL025,passS25,Student S25,SQL
SQL026,passS26,Student S26,SQL
SQL027,passS27,Student S27,SQL
SQL028,passS28,Student S28,SQL
SQL029,passS29,Student S29,SQL
SQL030,passS30,Student S30,SQL
WD001,passW1,Student W1,Web Development
WD002,passW2,Student W2,Web Development
WD003,passW3,Student W3,Web Development
WD004,passW4,Student W4,Web Development
WD005,passW5,Student W5,Web Development
WD006,passW6,Student W6,Web Development
WD007,passW7,Student W7,Web Development
WD008,passW8,Student W8,Web Development
WD009,passW9,Student W9,Web Development
WD010,passW10,Student W10,Web Development
WD011,passW11,Student W11,Web Development
WD012,passW12,Student W12,Web Development
WD013,passW13,Student W13,Web Development
WD014,passW14,Student W14,Web Development
WD015,passW15,Student W15,Web Development
WD016,passW16,Student W16,Web Development
WD017,passW17,Student W17,Web Development
WD018,passW18,Student W18,Web Development
WD019,passW19,Student W19,Web Development
WD020,passW20,Student W20,Web Development
WD021,passW21,Student W21,Web Development
WD022,passW22,Student W22,Web Development
WD023,passW23,Student W23,Web Development
WD024,passW24,Student W24,Web Development
WD025,passW25,Student W25,Web Development
WD026,passW26,Student W26,Web Development
WD027,passW27,Student W27,Web Development
WD028,passW28,Student W28,Web Development
WD029,passW29,Student W29,Web Development
WD030,passW30,Student W30,Web Development
PY,PY,tudent W30,Python
PY1,PY1,tudent W30,Python
